#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,app
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:24:00Z,123,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:27:00Z,32,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:28:00Z,25,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:29:00Z,25,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:30:00Z,25,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:31:00Z,25.941176470588236,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:32:00Z,27,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:33:00Z,25.88235294117647,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:34:00Z,31.88888888888889,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:35:00Z,25.058823529411764,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:36:00Z,26.444444444444443,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:37:00Z,25.529411764705884,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:38:00Z,26.294117647058822,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:39:00Z,26.444444444444443,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:40:00Z,25.823529411764707,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:41:00Z,25.11764705882353,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:42:00Z,25,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:43:00Z,25.41176470588235,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:44:00Z,25.41176470588235,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:45:00Z,27.22222222222222,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:46:00Z,26.235294117647058,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:47:00Z,26,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:48:00Z,26.058823529411764,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:49:00Z,25.27777777777778,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:50:00Z,25,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:51:00Z,26,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:52:00Z,26.235294117647058,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:53:00Z,26.11111111111111,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:54:00Z,25.41176470588235,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:55:00Z,25,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:56:00Z,25,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:57:00Z,25.235294117647058,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:58:00Z,25.176470588235293,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-15T23:59:00Z,26.333333333333332,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-16T00:00:00Z,25.705882352941178,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-16T00:01:00Z,25,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-16T00:02:00Z,25,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-16T00:03:00Z,25.38888888888889,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-16T00:04:00Z,25.941176470588236,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-16T00:05:00Z,25.529411764705884,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-16T00:06:00Z,25.058823529411764,value,qparams,db_api
,,0,2024-12-15T23:20:41.163877974Z,2024-12-16T02:20:41.163877974Z,2024-12-16T00:07:00Z,25.176470588235293,value,qparams,db_api
